index,English,Indonesian,ParseTree,Complexity,English_normalized,Indonesian_normalized
108,It's time for bed.,Ini waktunya tidur.,(S (NP (PRP It)) (VP (VBZ 's) (NP (NP (NN time)) (PP (IN for) (NP (NN bed))))) (. .)),simple,it s time for bed .,ini waktunya tidur .
1467,Do you want me to go with you?,Kamu ingin aku ikut denganmu?,(SQ (VBP Do) (NP (PRP you)) (VP (VB want) (S (NP (PRP me)) (VP (TO to) (VP (VB go) (PP (IN with) (NP (PRP you))))))) (. ?)),simple,do you want me to go with you ?,kamu ingin aku ikut denganmu ?
3711,He did not have much time to work on his speech.,Dia tidak punya banyak waktu mempersiapkan pidatonya.,(S (NP (PRP He)) (VP (VBD did) (RB not) (VP (VB have) (NP (NP (JJ much) (NN time)) (SBAR (S (VP (TO to) (VP (VB work) (PP (IN on) (NP (PRP$ his) (NN speech)))))))))) (. .)),complex,he did not have much time to work on his speech .,dia tidak punya banyak waktu mempersiapkan pidatonya .
1862,I never like to travel by train.,Aku tidak pernah suka bepergian dengan kereta api.,(S (NP (PRP I)) (ADVP (RB never)) (VP (VBP like) (S (VP (TO to) (VP (VB travel) (PP (IN by) (NP (NN train))))))) (. .)),simple,i never like to travel by train .,aku tidak pernah suka bepergian dengan kereta api .
58,Are you for real?,Apa kau serius?,(SQ (VBP Are) (NP (PRP you)) (PP (IN for) (ADJP (JJ real))) (. ?)),simple,are you for real ?,apa kau serius ?
76,I'll go with you.,Aku akan pergi denganmu.,(S (NP (PRP I)) (VP (MD 'll) (VP (VB go) (PP (IN with) (NP (PRP you))))) (. .)),simple,i ll go with you .,aku akan pergi denganmu .
3409,Will she go to the United States next year?,Apakah dia akan pergi ke Amerika Serikat tahun depan?,(SQ (MD Will) (NP (PRP she)) (VP (VB go) (PP (IN to) (NP (DT the) (NNP United) (NNPS States))) (NP (IN next) (NN year))) (. ?)),simple,will she go to the united states next year ?,apakah dia akan pergi ke amerika serikat tahun depan ?
368,I was bitten by a dog.,Aku digigit anjing.,(S (NP (PRP I)) (VP (VBD was) (VP (VBN bitten) (PP (IN by) (NP (DT a) (NN dog))))) (. .)),simple,i was bitten by a dog .,aku digigit anjing .
3281,Tom got hit by a truck and died instantly.,Tom ditabrak truk dan langsung meninggal.,(S (NP (NNP Tom)) (VP (VP (VBD got) (VP (VBN hit) (PP (IN by) (NP (DT a) (NN truck))))) (CC and) (VP (VBD died) (ADVP (RB instantly)))) (. .)),simple,tom got hit by a truck and died instantly .,tom ditabrak truk dan langsung meninggal .
785,Tom fell down the stairs.,Tom jatuh dari tangga.,(S (NP (NNP Tom)) (VP (VBD fell) (PP (IN down) (NP (DT the) (NNS stairs)))) (. .)),simple,tom fell down the stairs .,tom jatuh dari tangga .
2069,"Next year, I'll return to Boston.",Tahun depan aku akan kembali ke Boston.,"(S (NP (JJ Next) (NN year)) (, ,) (NP (PRP I)) (VP (MD 'll) (VP (VB return) (PP (IN to) (NP (NNP Boston))))) (. .))",simple,next year i ll return to boston .,tahun depan aku akan kembali ke boston .
1187,Is there a cat on the table?,Apa ada kucing di atas meja?,(SQ (VBZ Is) (NP (EX there)) (NP (NP (DT a) (NN cat)) (PP (IN on) (NP (DT the) (NN table)))) (. ?)),simple,is there a cat on the table ?,apa ada kucing di atas meja ?
1739,The sun doesn't shine at night.,Matahari tidak bersinar di malam hari.,(S (NP (DT The) (NN sun)) (VP (VBZ does) (RB n't) (VP (VB shine) (PP (IN at) (NP (NN night))))) (. .)),simple,the sun doesn t shine at night .,matahari tidak bersinar di malam hari .
3707,English is a language spoken all over the world.,Bahasa Inggris adalah bahasa yang digunakan di seluruh dunia.,(S (NP (NNP English)) (VP (VBZ is) (NP (NP (DT a) (NN language)) (VP (VBN spoken) (PP (ADVP (DT all)) (IN over) (NP (DT the) (NN world)))))) (. .)),simple,english is a language spoken all over the world .,bahasa inggris adalah bahasa yang digunakan di seluruh dunia .
