,English,Indonesian,ParseTree,Num_PPs,Complexity
0,Get up.,CC-BY 2.0 (France) Attribution: tatoeba.org #896158 (pauldhunt) & #4689868 (Bilmanda),(S (VP (VB Get) (PRT (RP up))) (. .)),1,simple
1,Come in.,CC-BY 2.0 (France) Attribution: tatoeba.org #348091 (Hertz) & #11251707 (Pacific),(S (VP (VB Come) (ADVP (RP in))) (. .)),1,simple
2,Come on!,CC-BY 2.0 (France) Attribution: tatoeba.org #24697 (CK) & #4556923 (dbahasa),(S (VP (VB Come) (PRT (RP on))) (. !)),1,simple
3,Get out!,CC-BY 2.0 (France) Attribution: tatoeba.org #266790 (CK) & #4345493 (Bilmanda),(S (VP (VB Get) (ADVP (RB out))) (. !)),1,simple
4,Go away!,CC-BY 2.0 (France) Attribution: tatoeba.org #433518 (CK) & #4556833 (dbahasa),(S (VP (VB Go) (ADVP (RB away))) (. !)),1,simple
5,He left.,CC-BY 2.0 (France) Attribution: tatoeba.org #3259071 (CH) & #10970390 (HAGNi),(S (NP (PRP He)) (VP (VBD left)) (. .)),1,simple
6,Hold on.,CC-BY 2.0 (France) Attribution: tatoeba.org #1357000 (sacredceltic) & #3959505 (Bilmanda),(S (VP (VB Hold) (PRT (RP on))) (. .)),1,simple
7,Shut up!,CC-BY 2.0 (France) Attribution: tatoeba.org #462430 (lukaszpp) & #1541678 (menyo),(S (VP (VB Shut) (PRT (RP up))) (. !)),1,simple
8,Shut up!,CC-BY 2.0 (France) Attribution: tatoeba.org #462430 (lukaszpp) & #7846862 (dbahasa),(S (VP (VB Shut) (PRT (RP up))) (. !)),1,simple
9,Wake up!,CC-BY 2.0 (France) Attribution: tatoeba.org #323780 (CK) & #4345428 (Bilmanda),(S (VP (VB Wake) (PRT (RP up))) (. !)),1,simple
10,Wake up!,CC-BY 2.0 (France) Attribution: tatoeba.org #323780 (CK) & #4689878 (Bilmanda),(S (VP (VB Wake) (PRT (RP up))) (. !)),1,simple
11,Wake up.,CC-BY 2.0 (France) Attribution: tatoeba.org #1850243 (CK) & #4689868 (Bilmanda),(S (VP (VB Wake) (PRT (RP up))) (. .)),1,simple
